case,category,categoryBig,mistake,freq,interesting,falseValue
адмінісратор,адміністратор,інше,TRUE,1,yes,1534
амдміністратор,адміністратор,інше,TRUE,1,,1534
адміністрвтор,адміністратор,інше,TRUE,1,,1534
админістратор,адміністратор,інше,TRUE,1,yes,1534
адмінінстратор,адміністратор,інше,TRUE,1,,1534
аміністратора,адміністратор,інше,TRUE,1,,1534
адміністротор,адміністратор,інше,TRUE,1,,1534
адмімістратора,адміністратор,інше,TRUE,1,yes,1534
адмністратор,адміністратор,інше,TRUE,1,,1534
адміістратор,адміністратор,інше,TRUE,1,,1534
адменістратор,адміністратор,інше,TRUE,1,yes,1534
адміністратр,адміністратор,інше,TRUE,1,,1534
адмінастратор,адміністратор,інше,TRUE,1,,1534
адаміністратор,адміністратор,інше,TRUE,1,,1534
адміністатор,адміністратор,інше,TRUE,3,,1534
аміністратор,адміністратор,інше,TRUE,3,,1534
адмінітратор,адміністратор,інше,TRUE,3,,1534
адмінстратор,адміністратор,інше,TRUE,5,,1534
адміністратор,адміністратор,інше,FALSE,1534,,1534
ад'ьюнкт,ад'юнкт,апостроф,TRUE,1,,49
ад'юнт,ад'юнкт,апостроф,TRUE,1,,49
ад*юнкт,ад'юнкт,апостроф,TRUE,1,,49
адьюнкт,ад'юнкт,апостроф,TRUE,3,,49
"ад""юнкт",ад'юнкт,апостроф,TRUE,4,,49
адюнкт,ад'юнкт,апостроф,TRUE,9,,49
ад'юнкт,ад'юнкт,апостроф,FALSE,49,,49
бриадир,бригадир,інше,TRUE,1,,632
бригадит,бригадир,інше,TRUE,1,,632
бригадр,бригадир,інше,TRUE,1,,632
бриигадир,бригадир,інше,TRUE,1,,632
брагадир,бригадир,інше,TRUE,1,yes,632
бринадир,бригадир,інше,TRUE,1,,632
бригдир,бригадир,інше,TRUE,2,,632
бригалир,бригадир,інше,TRUE,2,,632
боигадир,бригадир,інше,TRUE,2,,632
брігадир,бригадир,інше,TRUE,3,yes,632
бригодир,бригадир,інше,TRUE,4,yes,632
брегадир,бригадир,інше,TRUE,5,yes,632
бригадір,бригадир,інше,TRUE,5,,632
бригадир,бригадир,інше,FALSE,632,,632
бухгальерського,бухгалтер,інше,TRUE,1,,7577
бухгалтерськог,бухгалтер,інше,TRUE,1,,7577
бухгалтерсаького,бухгалтер,інше,TRUE,1,,7577
букхгалтер,бухгалтер,інше,TRUE,1,yes,7577
бухгалткр,бухгалтер,інше,TRUE,5,,7577
бухггалтер,бухгалтер,інше,TRUE,2,,7577
бухгалтерськогог,бухгалтер,інше,TRUE,1,,7577
блухгалтер,бухгалтер,інше,TRUE,1,yes,7577
бухгалтеоського,бухгалтер,інше,TRUE,1,,7577
бухгалтарського,бухгалтер,інше,TRUE,1,,7577
бухгалтерськоського,бухгалтер,інше,TRUE,1,,7577
бухгалтет,бухгалтер,інше,TRUE,1,yes,7577
бухгалтерьського,бухгалтер,інше,TRUE,1,,7577
